"Genre","Release_year","sale_by_year","total_sale"
Racing,2016,1.639999995008111,564.2699988428503
Role-Playing,2000,29.029999861493707,724.0300012417138
Role-Playing,2001,22.06000010110438,724.0300012417138
Role-Playing,2002,45.1300002746284,724.0300012417138
Role-Playing,2003,30.280000379309058,724.0300012417138
Role-Playing,2004,53.94999983534217,724.0300012417138
Role-Playing,2005,28.549999801442027,724.0300012417138
Role-Playing,2006,57.730000173673034,724.0300012417138
Role-Playing,2007,43.890000039711595,724.0300012417138
Role-Playing,2008,59.830000372603536,724.0300012417138
Role-Playing,2009,47.90000023320317,724.0300012417138
Role-Playing,2010,70.51999953947961,724.0300012417138
Role-Playing,2011,53.370000183582306,724.0300012417138
Role-Playing,2012,47.80999960936606,724.0300012417138
Role-Playing,2013,44.9200003631413,724.0300012417138
Role-Playing,2014,45.86000024527311,724.0300012417138
Role-Playing,2015,36.44000024907291,724.0300012417138
Role-Playing,2016,6.759999979287386,724.0300012417138
Shooter,2000,6.810000065714121,897.4599992372096
Shooter,2001,24.769999742507935,897.4599992372096
Shooter,2002,48.579999808222055,897.4599992372096
Shooter,2003,27.140000013634562,897.4599992372096
Shooter,2004,46.94999970309436,897.4599992372096
Shooter,2005,41.6000000089407,897.4599992372096
Shooter,2006,38.37000013701618,897.4599992372096
Shooter,2007,71.03999981470406,897.4599992372096
Shooter,2008,59.51000011712313,897.4599992372096
Shooter,2009,69.88999979570508,897.4599992372096
Shooter,2010,77.40999960154295,897.4599992372096
Shooter,2011,99.36000013165176,897.4599992372096
Shooter,2012,72.85999957285821,897.4599992372096
Shooter,2013,62.80000016838312,897.4599992372096
Shooter,2014,66.00000044703484,897.4599992372096
Shooter,2015,66.15000038966537,897.4599992372096
Shooter,2016,18.219999719411135,897.4599992372096
Simulation,2000,3.380000002682209,337.3100000061095
Simulation,2001,19.540000276640058,337.3100000061095
Simulation,2002,10.809999952092767,337.3100000061095
Simulation,2003,21.21000000834465,337.3100000061095
Simulation,2004,10.850000152364373,337.3100000061095
Simulation,2005,49.27000059373677,337.3100000061095
Simulation,2006,21.76999969407916,337.3100000061095
Simulation,2007,48.96999997086823,337.3100000061095
Simulation,2008,46.75999975390732,337.3100000061095
Simulation,2009,33.70999954082072,337.3100000061095
Simulation,2010,22.14999982342124,337.3100000061095
Simulation,2011,15.279999846592546,337.3100000061095
Simulation,2012,13.380000190809369,337.3100000061095
Simulation,2013,8.670000126585364,337.3100000061095
Simulation,2014,5.5500000435858965,337.3100000061095
Simulation,2015,5.620000030845404,337.3100000061095
Simulation,2016,0.3899999987334013,337.3100000061095
Sports,2000,41.18999951891601,1130.389995727688
Sports,2001,51.42999999038875,1130.389995727688
Sports,2002,65.42000000551343,1130.389995727688
Sports,2003,56.10999995842576,1130.389995727688
Sports,2004,63.67999991029501,1130.389995727688
Sports,2005,59.5399997215718,1130.389995727688
Sports,2006,136.15999756008387,1130.389995727688
Sports,2007,98.19999983534217,1130.389995727688
Sports,2008,95.33999936468899,1130.389995727688
Sports,2009,138.52000015974045,1130.389995727688
Sports,2010,92.52999988757074,1130.389995727688
Sports,2011,56.989999674260616,1130.389995727688
Sports,2012,30.929999807849526,1130.389995727688
Sports,2013,41.55000032298267,1130.389995727688
Sports,2014,46.66000026091933,1130.389995727688
Sports,2015,41.539999740198255,1130.389995727688
Sports,2016,14.600000008940697,1130.389995727688
Strategy,2000,8.500000022351742,115.99999999441206
Strategy,2001,7.549999935552478,115.99999999441206
Strategy,2002,5.55999992787838,115.99999999441206
Strategy,2003,7.989999985322356,115.99999999441206
Strategy,2004,7.190000049769878,115.99999999441206
Strategy,2005,5.370000012218952,115.99999999441206
Strategy,2006,4.270000008866191,115.99999999441206
Strategy,2007,9.419999979436398,115.99999999441206
Strategy,2008,11.69000001810491,115.99999999441206
Strategy,2009,12.560000138357282,115.99999999441206
Strategy,2010,13.86999998986721,115.99999999441206
Strategy,2011,9.059999888762832,115.99999999441206
Strategy,2012,3.3300000708550215,115.99999999441206
Strategy,2013,6.329999964684248,115.99999999441206
Strategy,2014,0.9900000039488077,115.99999999441206
Strategy,2015,1.819999996572733,115.99999999441206
Strategy,2016,0.5000000018626451,115.99999999441206
